"annotation_id","annotator","created_at","disciplina","id","intent_choice","lead_time","question","question_id","split","true_answer","updated_at"
12,"1","2025-09-17T14:52:19.043585Z","Ciências Humanas",12,"Conceitual",20.608,"TEXTO DE REFERÊNCIA: Os indivíduos que compõem a classe dominante possuem, entre outras coisas, também consciência e, por isso, pensam; na medida em que dominam como classe e determinam todo o âmbito de uma época histórica, é evidente que eles o fazem em toda a sua extensão, portanto, entre outras coisas, que eles dominam também como pensadores, como produtores de ideias, que regulam a produção e a distribuição das ideias de seu tempo; e, por conseguinte, que suas ideias são as ideias dominantes da época.

MARX, K.; ENGELS, F. A Ideologia Alemã. Tradução de Luciano Cavini Martorano, Nélio Schneider e Rubens Enderle. São Paulo: Boitempo, 2007. p. 47.

Segundo o texto, Marx afirma que a ideologia, para a classe dominante, serve para:","b986efaa10a7a6f90c69e779401323871245f90e4e50e092b0a6acda347bbf8ca107f765acf5cf52bce4735b6c70a76605805fa55f15c77af65e13c8e7c60315","train","sustentar as estruturas burguesas","2025-09-17T14:52:19.043599Z"
13,"1","2025-09-17T14:52:29.187620Z","Matemática",13,"Procedimental",8.55,"TEXTO DE REFERÊNCIA: O projeto de uma sala comercial de formato retangular com 10 m de comprimento e 6 m de largura prevê a instalação de dois ares‑condicionados de 12 000 BTUs cada. Uma técnica foi contatada para analisar se a quantidade de ares‑condicionados indicada no projeto estava adequada para as dimensões da sala. Sabe‑se que, em um ambiente comercial, um ar‑condicionado de 12 000 BTUs atende a uma área de 15 m².

Quantos aparelhos adicionais de 12 000 BTUs são necessários, segundo a técnica, para atender adequadamente a sala?","c8db9a9af985d73228dbd3c80010fa686fa50cac1e744ac20572410f7d85f205b7698a790093fa145262f23fffef86d0d0e9945613ec671d4d04adab6dbe45b4","train","2","2025-09-17T14:52:29.187637Z"
14,"1","2025-09-17T14:52:54.018642Z","Matemática",14,"Comparativo",23.541,"TEXTO DE REFERÊNCIA: Tabela de índices pluviométricos nos últimos três meses e variâncias:
A: 1º mês 100 mm, 2º mês 101 mm, 3º mês 99 mm — Variância 0,67
B: 1º mês 110 mm, 2º mês 90 mm, 3º mês 70 mm — Variância 266,67
C: 1º mês 80 mm, 2º mês 100 mm, 3º mês 120 mm — Variância 266,67
D: 1º mês 0 mm, 2º mês 90 mm, 3º mês 180 mm — Variância 5 400,00
E: 1º mês 0 mm, 2º mês 100 mm, 3º mês 200 mm — Variância 6 666,67

ENUNCIADO: Um grupo de amigos pretende passar um mês de férias em alguma cidade do litoral brasileiro. Consideram‑se cinco opções: cidades A, B, C, D e E. Desejam que a cidade tenha tido a menor média mensal nos meses considerados e, em caso de empate, a escolha será pela cidade cujos dados apresentam menor regularidade, ou seja, maior desvio padrão.

Seguindo esses critérios, qual cidade será escolhida?","248074b15da76311ec1281b6b6274011ba8f80487e0061e72b602b2b526146706870c7bce3b3b83c4a07ca29e6e5138bfeeee5258f66238d153c9a94e4240d90","train","D","2025-09-17T14:52:54.018656Z"
15,"1","2025-09-17T14:53:56.599219Z","Ciências Humanas",15,"Análise de Exemplo",61.294,"TEXTO DE REFERÊNCIA: Ao longo das últimas três décadas, a Arábia Saudita tem plantado grãos, frutas e legumes no deserto. A sede dessas plantas é satisfeita por água que data da última Era do Gelo. Em um passado mais temperado, há cerca de 20 000 anos, essa água “fóssil” formou aquíferos que agora estão enterrados muito abaixo dos oceanos de areia e das formações de calcário. Os árabes alcançaram essas fontes subterrâneas e passaram a bombeá‑las após escavar poços através da rocha sedimentar por até um quilômetro abaixo da areia do deserto.

Qual é o principal efeito ambiental da técnica de extração de água subterrânea utilizada para viabilizar a agricultura descrita no texto?","14937e75b13f507391a9b132c4fef836ca2f3544c239c3c2de26a3de516033e48c6ba7fca05e630674f1d1790f57edc17ee572aa9ed32e7cf182b6defdda9636","train","diminui o estoque de insumo hídrico","2025-09-17T14:53:56.599237Z"
16,"1","2025-09-17T14:54:07.778835Z","Matemática",16,"Procedimental",6.366,"TEXTO DE REFERÊNCIA: Em uma fábrica, são realizadas manutenções em três tipos diferentes de sistemas: sistema mecânico (a cada 15 dias), sistema elétrico (a cada 40 dias) e sistema hidráulico (a cada 60 dias). Quando as três manutenções são realizadas no mesmo dia, há uma parada total na fábrica.

Com base nessas informações, qual é o período, em dias, entre duas paradas totais consecutivas?","9bdefe9b30b4624636d5f13ac3471ccc69df48019a959946f3a22d4e1ee4fad2616064122c08614c7b065e71d60031807fe3bf911d7407eff3ee04b64464b98b","train","120","2025-09-17T14:54:07.778847Z"
17,"1","2025-09-17T14:54:14.522178Z","Matemática",17,"Procedimental",5.459,"TEXTO DE REFERÊNCIA: Cinco empresas estatais de determinado estado prestaram conta dos valores investidos em atividades de interesse público nos anos de 2019 e 2020. A tabela mostra os valores investidos por empresa.

Estatal | 2019 (R$ milhões) | 2020 (R$ milhões)
I | 800 | 920
II | 700 | 945
III | 590 | 708
IV | 560 | 700
V | 540 | 702

O governo do estado decidiu que, em 2021, irá injetar recursos extras na empresa que apresentou a menor taxa de aumento no valor investido de 2019 para 2020.

Segundo os valores informados, qual estatal deverá receber os recursos extras em 2021?","ec0d6e150a5cb89029750bf8bc7ea282189c00ba14e611aa7d2e335eb0e272c1c6e00558cf06224fb98e2bc46a2e86e2431f172d31dee510afce385439b12a02","train","I","2025-09-17T14:54:14.522189Z"
18,"1","2025-09-17T14:55:09.987625Z","Ciências Humanas",18,"Análise de Exemplo",54.108,"PELA PRIMEIRA VEZ, NA LITERATURA BRASILEIRA, UM NEGRO OUSARA DENUNCIAR OS PARADOXOS POLÍTICOS, ÉTICOS E MORAIS DA SOCIEDADE IMPERIAL. [...] [Luiz] GAMA SE DEDICARIA A TRABALHAR EM PROL DE SEUS SONHOS – UM “BRASIL AMERICANO, SEM REIS E SEM ESCRAVOS” – ATRAVÉS DO JORNALISMO, DA TRIBUNA E DOS TRIBUNAIS. “A TURBULÊNCIA CONSISTIA EM FAZER EU PARTE DO PARTIDO LIBERAL; E, PELA IMPRENSA E PELAS URNAS, PUGNAR PELA VITÓRIA DE MINHAS E SUAS IDEIAS; E PROMOVER PROCESSOS EM FAVOR DE PESSOAS LIVRES CRIMINOSAMENTE ESCRAVIZADAS; E AUXILIAR LICITAMENTE, NA MEDIDA DE MEUS ESFORÇOS, ALFORRIAS DE ESCRAVOS, PORQUE DETESTO O CATIVEIRO E TODOS OS SENHORES, PRINCIPALMENTE OS REIS.”, [DECLAROU GAMA].

De acordo com o texto, a manutenção da instituição escravista se relacionava, para Luiz Gama, com o(a):","77fa9b701d6fe842f2dacf74c24694bae91bf585a80c2c126388c7ed42c75043de292d1f1c5bda36d4641421dff739c766e3063dc025db2cf7822a1f3f28cc19","train","imoralidade do sistema político vigente","2025-09-17T14:55:09.987637Z"
19,"1","2025-09-17T14:56:15.776856Z","Linguagens e Códigos",19,"Conceitual",67.44200000000001,"TEXTO DE REFERÊNCIA: Nelson Mandela, in full Nelson Rolihlahla Mandela, byname Madiba, (born July 18, 1918, Mvezo, South Africa – died December 5, 2013, Johannesburg), Black nationalist and the first Black president of South Africa (1994-1999). His negotiations in the early 1990s with South African Pres. F.W. de Klerk helped end the country’s apartheid system of racial segregation and ushered in a peaceful transition to majority rule. Mandela and de Klerk were jointly awarded the Nobel Prize for Peace in 1993 for their efforts.

Disponível em: www.britannica.com. Acesso em: 6 nov. 2023.

Qual é o objetivo principal desse texto sobre Nelson Mandela?","e1f1e99916941bd09e200d3bad500a1e9a076e62eb99b17a2190258987b3360911b76c0b68ae4f3004dcfd8e25956929376cb596f35b9eba19c94ad6bfe09df9","valid","educar os leitores sobre eventos e figuras históricas","2025-09-17T14:56:50.880040Z"
20,"1","2025-09-17T14:56:44.818951Z","Ciências Humanas",20,"Conceitual",27.687,"TEXTO DE REFERÊNCIA: e o Liberal – completaram sua formação em fins da década de 1830, como agremiações políticas opostas. Mas havia mesmo diferenças ideológicas ou sociais entre eles? Ficou célebre uma frase atribuída ao político pernambucano Holanda Cavalcanti: “Nada se assemelha mais a um ‘Saquarema’, do que um ‘Luzia’ no poder”.

FAUSTO, Boris, _História do Brasil_. São Paulo: Edusp. 1995. p.180 (adaptado)

Como o texto caracteriza a base ideológica da conjuntura política do Segundo Reinado no Brasil?","d3a2e1b8d701b03a7701136d6f174a7cb437e373d3b52a29deca3be5131d669c872cc550ed97ff0caf6a62b60ed047836182d86fb55661586c00a4e91a6e9bdf","train","elitista e aparentemente difusa","2025-09-17T14:56:44.818965Z"
21,"1","2025-09-17T14:57:19.783219Z","Ciências Humanas",21,"Conceitual",26.886,"TEXTO DE REFERÊNCIA: O ministro argumentou que [...]: “Não se muda o estado de um país de um momento para outro. Os nossos hábitos de três séculos, durante os quais foi mantida a escravidão entre nós, as necessidades do país, tudo enfim pedia que com um rasgo de pena não se dissesse – fica abolido o tráfico – sem que para isso nada se tivesse preparado [...], sem se fazer coisa nenhuma, nem antes nem depois da lei, sendo nosso país puramente agrícola e dependendo de braços para viver”.

CHALHOUB, S. A força da escravidão: ilegalidade e costume no Brasil oitocentista. São Paulo: Companhia das Letras, 2012.

De acordo com o discurso do ministro, a Lei Feijó, sancionada em 1831, refletiu principalmente qual influência?","e0304bfbc2ef2cca2e6785bc70732e4ebecbf7263ed24646864d8e3cbf71d727db2d82090fb8b1f47acdb9be291f4ada4b7df48548a2402d93c16e4a131b3c1d","train","pressão internacional pelo fim da escravidão","2025-09-17T14:57:19.783230Z"
22,"1","2025-09-17T14:57:51.760485Z","Linguagens e Códigos",22,"Análise de Exemplo",30.337,"TEXTO DE REFERÊNCIA: Counting

Harry Franck, from the United States

of America – Census Enumerator

I came to Panama planning to dig

the Eighth Wonder of the World,

but I was told that white men

should never be seen working

with shovels, so I took a police job,

and now I’ve been transferred

to the census.

[…] 

The rules of this census confound me.

I’m expected to count white Jamaicans

as dark and every shade of Spaniard

as semi-white, so that Americans

can pretend

there’s only one color

in each country.

[…] 

Counting feels just as impossible

as turning solid mountains

into a ditch.

ENGLE, M. Counting (Harry Franck from the United States of America Census Enumerator). In: Silver People: Voices from the Panama Canal. Boston: Houghton Mifflin Harcourt, 2014. [Fragmento]

Com base no poema de Margarita Engle, que aspecto o eu lírico evidencia sobre a realização dos censos no Panamá?
","bca9438ace8a79a1435c7c8dd01c3b98eaf5f019393a49850565430b3e964f6054bdb79776cb0a2ff11b7ffbdc8f1b460e2ba78f050dfe7ca4a98a3e69fc3c62","train","política intricada na realização dos censos","2025-09-17T14:57:51.760499Z"
23,"1","2025-09-17T14:58:35.122487Z","Ciências da Natureza",23,"Procedimental",42.27,"TEXTO DE REFERÊNCIA: Um agricultor interessado em acelerar o processo de decomposição de matéria orgânica no solo, aplicou enzimas microbianas no terreno. O rótulo do produto continha a seguinte explicação:

Complexo transitório (enzima + substrato)    Enzima na sua forma original

Disponível em: <https://elevagro.com>. Acesso em: 21 jun. 2022.

Como o agricultor deve otimizar a ação do produto?","8049859b8f7d325b1e6092d1ff07e7d80d46e1c3d02194aa6cec5b666fc4079fd5a8aa5cb5482bf1bc439c95e213394a335fba7b2ac2b0b7a9f0db7d4ed67c4a","train","Adequar o pH do solo ao valor mais favorável para a enzima.","2025-09-17T14:58:35.122503Z"
24,"1","2025-09-17T14:58:55.914127Z","Linguagens e Códigos",24,"Análise de Exemplo",19.526,"TEXTO DE REFERÊNCIA: Originalmente, as carrancas eram figuras de proa usadas nas antigas embarcações que faziam o transporte fluvial de cargas no rio São Francisco nos séculos XIX e XX. Histórica e culturalmente, as carrancas do São Francisco são o produto do trabalho de artistas populares. Esculturas de estética grotesca e feições zooantropomorfas, feitas em madeira, elas teriam surgido como amuleto capaz de conter a força da natureza e afugentar as criaturas abomináveis que emergiriam das profundezas do rio para naufragar as embarcações. Essas imagens eram usadas também como estratégia rudimentar de comunicação mercadológica praticada de forma intuitiva pelos antigos barqueiros, como forma de atrair a curiosidade e chamar a atenção de potenciais clientes para os produtos vendidos nas barcas de figura, tendo em vista o comércio fluvial ambulante praticado ao longo do rio.

De acordo com o texto, as carrancas conjugavam quais tipos de funções?","788c40f51deed6d4a382642e2fd2a1161fa3f341803e3012d02f81457337139e16ed3f01badbdbacef69d1d6c6dbb4726cf0fa530a4d8e58e7062647c6e47350","train","funções práticas, crenças religiosas e formas estéticas","2025-09-17T14:58:55.914140Z"
25,"1","2025-09-17T14:59:19.273300Z","Ciências Humanas",25,"Análise de Exemplo",21.588,"TEXTO DE REFERÊNCIA: A União Europeia é um bloco econômico de características únicas e constituído por 27 países europeus que, em conjunto, abarcam grande parte do continente.

Os passos iniciais que levaram à criação da União Europeia ocorreram no contexto do pós‑Segunda Guerra Mundial. Eles visavam incentivar a cooperação econômica, partindo do pressuposto de que, se os países tivessem relações comerciais entre si, se tornariam economicamente dependentes uns dos outros, reduzindo assim os riscos de conflitos.

A União Europeia. Disponível em: <https://portugal.representation.ec.europa.eu>. Acesso em: 16 jan. 2023 (Adaptação).

Considerando as informações do texto, qual foi uma das motivações iniciais da criação da União Europeia?
","2ccdd8511150a87e3b38d4476be034c28214c6b208a1a3ccdc785aa4fc8c18b06e0979b61e92218e3839c7a41b15e6a1df6bd2584c2779e233af2cc1f8a47c22","train","promoção da estabilidade geopolítica","2025-09-17T14:59:19.273315Z"
26,"1","2025-09-17T15:02:40.327657Z","Ciências Humanas",26,"Análise de Exemplo",199.7,"TEXTO DE REFERÊNCIA: Vídeo mostra importância das consultas públicas para respeitar direitos de escolha das populações dos territórios

O vídeo “Protocolos de Consulta: Instrumento para a Defesa de Territórios e Direitos” retrata uma iniciativa que surgiu dentro dos movimentos de povos indígenas e outras comunidades tradicionais que tem como objetivo assegurar o direito à consulta e a consentimento, livre, prévio e informado sobre políticas e projetos que afetam seus territórios e vidas. Todo o conteúdo é baseado em depoimentos e denúncias feito por lideranças de povos indígenas, quilombolas e ribeirinhos sobre o surgimento da ideia dos protocolos autônomos de consulta e experiências e lições na sua elaboração e implementação. Inicialmente, o projeto foi pensado como contribuição para atividades educativas de formação entre movimentos e comunidades, facilitando a troca de experiências e aprendizagens.

Disponível em: https://fase.org.br/.

ENUNCIADO: Qual é o objetivo das consultas públicas, conforme citado na matéria?","fbd97f973b3d0c93b67fe8b90c19e5a5879e1d11f757c1d1dae9f0052817896cab26283b5a954dc21342f0254a7f8f30c9792dd6c1cb999a50041c3c1cecdf63","train","Receber a contribuição dos cidadãos para cooperar no processo de tomada de decisão e edição das normas da administração pública.","2025-09-17T15:02:40.327672Z"
27,"1","2025-09-17T15:03:07.642051Z","Ciências Humanas",27,"Análise de Exemplo",26.192,"TEXTO DE REFERÊNCIA:

TEXTO I: O presidente dos Estados Unidos, Joe Biden, anunciou em maio de 2022 que 12 países aderiram ao Quadro Econômico Indo‑Pacífico (IPEF, na sigla em inglês), um novo pacto comercial que pretende aproximar Washington de economias asiáticas em questões como cadeias de suprimentos, comércio digital, energia limpa e esforços anticorrupção.

TEXTO II: O porta‑voz do Ministério das Relações Exteriores da China, Wang Wenbin, disse na quarta‑feira (25/05/2022) que os Estados Unidos querem dissociar os países do Indo‑Pacífico da economia chinesa ao firmar acordo comercial com 12 nações da região.

Qual aspecto das relações internacionais é revelado pelas diferentes visões sobre o acordo citado nos textos?","aeb46b4617852e66fc5ce3a439c496d23312a6ce55109c2e619199b08febf013b9d27a670f7bc47820a342f20304b8aa78fff076deff9c0445cbd9c08b7baa83","test","Busca por hegemonia mercadológica","2025-09-17T15:03:07.642061Z"
28,"1","2025-09-17T15:03:52.643911Z","Ciências Humanas",28,"Análise de Exemplo",43.816,"TEXTO DE REFERÊNCIA: O que, afinal, é Inteligência Artificial?

Seja como for, hoje a expressão Inteligência Artificial é muito popular, tanto na literatura técnica quanto no imaginário popular. As mais variadas áreas, de Medicina a Direito a Engenharia, estão vivendo revoluções baseadas na “inteligência artificial”. A sociedade simultaneamente se espanta com os prometidos ganhos em bem-estar e produtividade e se apavora com perspectivas apocalípticas relacionadas à “inteligência artificial”. Em muitos casos o que se observa é a confusão entre IA e toda e qualquer atividade que envolve aparelhos digitais. Muitas inovações recentes creditadas à inteligência artificial decorrem simplesmente da automatização de tarefas quotidianas ou do uso de tecnologias já dominadas há algum tempo. Por exemplo, temos dispositivos como smart câmeras, por exemplo, em que técnicas sofisticadas de processamento de imagens produzem efeitos surpreendentes mas que dificilmente podem ser confundidos com inteligência. Outras notícias nos alertam sobre aparelhos de ar‑condicionado inteligentes e mesmo sorvetes baseados em IA.

COZMAN, F. G.; NERI, H. O que, afinal, é Inteligência Artificial? In: COZMAN, F.; PLONSKI, G. A.; NERI, H. (Org.). Inteligência artificial : avanços e tendências. IE: Instituto de Estudos Avançados da Universidade de São Paulo, 2021. Acesso em: 14 set. 2023.

Com base no texto acima, por que o autor faz uma leve crítica à popularização do termo “inteligência artificial” no imaginário popular?","51834fc0dcdbb342dcde7192773682951ce7b938167be67c7fddf319cb728fcf828e5464da12426f24dfffcbfd8af433ad72c6ba80c5dcddb67c65bef0dee18f","train","Porque indica que muitos feitos hoje atribuídos à IA já eram de domínio da humanidade no passado.","2025-09-17T15:03:52.643923Z"
